,rotation,texture_u,texture_g,texture_r,texture_i,texture_z
10191,ccw,-0.02651548,3.446343,16.2477,2.58386,-0.03879571
10192,ccw,0.4873327,14.06879,18.96327,13.326979999999999,0.2233967
10193,ccw,0.1123075,97.1434,26.289609999999996,19.69184,0.9380421999999998
10194,ccw,0.07964253,62.421440000000004,60.783359999999995,45.1268,1.67593
10195,ccw,0.1743939,32.27192,18.031270000000003,7.539110000000001,0.11538759999999999
10196,ccw,0.3845769,81.62816,53.103609999999996,27.05762,0.43703450000000005
10197,ccw,0.16038010000000003,17.36542,43.49771,45.93496,3.045109
10198,ccw,0.7619465999999999,14.06269,36.141259999999996,32.10716,0.32485440000000004
10199,ccw,0.08976110000000001,21.205270000000002,15.277679999999998,12.994060000000001,0.38356979999999996
10200,ccw,1.592432,215.9084,265.8716,219.4804,17.36996
10201,ccw,5.899755,691.1376,421.2573,183.8832,10.173060000000001
10202,ccw,0.4840621,97.38113,59.94243,13.161,0.22915970000000002
10203,ccw,2.172694,339.4244,76.87605,52.379540000000006,1.644585
10204,ccw,0.2670498,126.1139,154.3269,137.0223,6.628449000000001
10205,ccw,1.0155379999999998,518.0897,709.5575,694.316,11.78173
10206,ccw,0.03516925,38.80421,16.17268,6.092832,0.5503496
10207,ccw,0.06788228,11.49489,8.127338,2.600218,0.02657684
10208,ccw,3.6995199999999997,1853.9260000000002,425.4435,185.4117,4.420022
10209,ccw,0.9375036,132.3079,82.03931,56.705619999999996,1.542538
10210,ccw,0.6345173000000001,463.2836,254.2007,204.183,8.21915
10211,ccw,0.794493,185.8972,296.8231,265.4095,13.87525
10212,ccw,0.106635,21.945520000000002,14.62495,11.434289999999999,0.6328459
10213,ccw,1.206492,98.12592,41.53212,124.0644,0.4068693
10214,ccw,0.05921037,28.983759999999997,54.04695,35.65586,2.247036
10215,ccw,0.02721821,5.712369,7.594722999999999,4.156087,-0.01826081
10216,ccw,0.6527951,69.33464000000001,52.05265,26.24955,0.7962096
10217,ccw,0.5902569000000001,17.86362,43.74239,35.52472,0.6865458000000001
10218,ccw,14.096789999999999,1322.122,717.7951,328.5406,9.173525999999999
10219,ccw,0.7931784000000001,94.8532,210.5291,23.50329,0.45998019999999995
10220,ccw,0.17737529999999999,35.2836,46.4791,32.329190000000004,1.224656
10221,ccw,0.1896425,102.9126,145.7534,118.7675,2.946568
10222,ccw,0.3903188,69.02866999999999,92.26923000000001,91.01495,0.40445990000000004
10223,ccw,0.0255021,6.515426000000001,9.453312,7.870933,0.2263866
10224,ccw,252.6767,26484.51,26162.35,18093.31,1125.4660000000001
10225,ccw,1.020773,467.5157,74.22089,33.8927,0.2921222
10226,ccw,0.1719953,20.27226,18.678079999999998,15.821670000000001,0.351547
10227,ccw,0.2663375,118.31,146.6098,119.8518,4.750844
10228,ccw,0.1480374,40.07117,9.938836,4.310805,0.04759639
10229,ccw,0.11973510000000001,29.97386,11.54873,6.249487,0.05573033
10230,ccw,0.3587903,27.64562,85.51456999999999,65.43908,0.5455220000000001
10231,ccw,-0.00047440599999999997,39.009370000000004,64.21804,12.454410000000001,0.1413604
10232,ccw,0.0070991380000000005,6.763808,15.92494,16.50307,-0.04096792
10233,ccw,0.08692377,6.749371000000001,3.4804779999999997,2.502965,0.13933829999999997
10234,ccw,0.8704559000000001,159.4411,152.3217,78.62574000000001,6.41145
10235,ccw,1.030844,209.4769,247.7624,166.2049,12.98702
10236,ccw,0.1722243,19.56351,19.578470000000003,4.859172,0.34733270000000005
10237,ccw,9.663556,1034.969,1350.0770000000002,746.5413,73.16792
10238,ccw,8.217391000000001,519.1606,255.5957,89.5324,2.736228
10239,ccw,9.598269,500.295,380.6078,187.5089,12.35599
10240,ccw,0.37663559999999996,42.10409,81.95666999999999,53.38097,3.502555
10241,ccw,7.81232,1864.0929999999998,2873.9040000000005,1878.004,253.6528
10242,ccw,0.3146262,82.18131,70.07262,47.64907,3.364015
10243,ccw,166.1538,15106.76,18138.71,11821.84,382.7625
10244,ccw,0.1782933,91.5405,133.8915,86.89914,1.7380509999999998
10245,ccw,0.32814909999999997,219.1582,366.7001,215.6557,60.50911
10246,ccw,0.49152340000000005,106.17399999999999,76.66454,5.897792,0.22235460000000004
10247,ccw,2.354041,219.8706,430.9165,358.6105,31.849909999999998
10248,ccw,30.782290000000003,2311.186,1048.257,287.0735,14.05375
10249,ccw,1.522745,435.3108,483.5144,87.92997,2.191496
10250,ccw,0.05766755,8.853423,5.5074309999999995,2.315211,0.1466902
10251,ccw,0.07267256,27.301640000000003,28.86825,19.06755,2.792091
10252,ccw,0.1396451,51.79285,21.53653,12.911,0.5961469
10253,ccw,0.07908288,12.58253,7.961850999999999,3.680314,0.05220961
10254,ccw,11.43939,3202.651,2968.711,479.7524,33.24337
10255,ccw,0.05394222,15.54289,13.24572,10.011339999999999,0.5645284
10256,ccw,0.6133284000000001,211.4133,284.0396,210.32299999999998,2.6480029999999997
10257,ccw,0.02770433,20.05709,30.045820000000003,24.95681,1.546783
10258,ccw,4.4424269999999995,4662.247,7802.727,1153.743,76.78855
10259,ccw,-0.04547278,10.48435,26.02409,6.087749,0.18111329999999998
10260,ccw,0.1734454,49.99281,31.13058,16.46346,0.4248501
10261,ccw,0.2895288,190.8716,194.9456,99.5528,6.850778
10262,ccw,0.27355630000000003,191.2384,39.074259999999995,19.25769,0.6140563
10263,ccw,0.142682,97.12563,122.9667,72.91524,5.366214
