,rotation,ra,dec,cx,cy,cz,raErr,decErr,raDecCorr,b,l,offsetRa_u,offsetRa_g,offsetRa_r,offsetRa_i,offsetRa_z,offsetDec_u,offsetDec_g,offsetDec_r,offsetDec_i,offsetDec_z
3204,cw,187.96566909999999,35.70843348,-0.80416289,-0.11252639999999998,0.58366074,0.051378312,0.049832561,-0.001815864,80.46126143,147.6410722,0.06076,0.02309,0,0.0028699999999999997,-0.00707,-0.03268,-0.02034,0,0.0006799999999999999,0.011940000000000001
3205,cw,189.6686689,35.65917479,-0.80095794,-0.1364595,0.58296243,0.05147763599999999,0.048575642999999995,-0.005439165,81.04654288,139.8250549,-0.04885,0.06009,0,0.02682,0.02843,-0.08724,0.01225,0,-0.04559,-0.04413
3206,cw,204.4278755,34.20480768,-0.7529995,-0.34201755,0.56215278,0.048472432,0.05123922,0.022437772999999998,77.80388682,71.20534665,-0.01126,0.06092,0,-0.02496,-0.00981,-0.0165,0.03739,0,-0.0024100000000000002,-0.0036
3207,cw,172.4108856,35.51464462,-0.80683724,0.10749906,0.58091102,0.044558207,0.04843472,-0.021391162000000002,70.67537933,182.17422580000002,-0.04817,-0.0021,0,-0.02254,-0.07400000000000001,0.01917,0.03657,0,0.08666,0.0816
3208,cw,183.95349530000001,36.12319876,-0.80582908,-0.05569184,0.58952346,0.049707805,0.049269837000000004,0.000185487,78.24713304,160.805531,-0.30198,-0.05967000000000001,0,-0.032560000000000006,-0.0404,-0.051789999999999996,0.031810000000000005,0,-0.00834,0.00825
3209,cw,196.51465359999997,35.57277073,-0.77982312,-0.23121109,0.58173649,0.049002187,0.047156439,-0.008973354000000001,80.99915869,103.5756667,0.23123000000000002,0.01795,0,0.03084,0.03483,-0.17517,-0.02907,0,-0.00743,-0.03848
3210,cw,199.1195404,35.26548574,-0.77144596,-0.26743179,0.57736589,0.048623453,0.043450648,-0.032511794,80.26452464,91.16287762,0.07094,0.0327,0,-0.015040000000000001,-0.010620000000000001,-0.20029,0.007540000000000001,0,0.01137,0.012620000000000001
3211,cw,151.99762080000002,29.36185112,-0.76950757,0.40919542,0.49032357,0.046683080999999994,0.054923621,-0.120445971,54.11588175,199.5331665,0.06091,0.01824,0,0.01318,0.04255,0.09402999999999999,-0.0394,0,-0.016040000000000002,0.03373
3212,cw,154.62177250000002,30.05822982,-0.7819929,0.37095343,0.50087989,0.0501342,0.047691282,0.033365912000000005,56.45224944,198.707837,-0.38975,-0.21911,0,-0.0063,-0.99182,-0.03042,0.00981,0,0.0037,-1.20652
3213,cw,154.9767769,30.30305642,-0.78232976,0.36519248,0.50457368,0.04747834099999999,0.045440311,0.028894597,56.77687446,198.3066509,-0.00939,0.0043100000000000005,0,0.02365,0.03465,0.03383,0.0194,0,0.02557,0.02962
3214,cw,119.8249392,15.88836361,-0.47835127,0.83440601,0.27376389,0.039693905,0.042071599,-0.11298671800000001,21.99997719,205.7650243,-0.25497,-0.01511,0,0.00477,0.00302,-0.28073000000000004,-0.04834,0,0.023469999999999998,0.01465
3215,cw,120.1153627,15.91401101,-0.48251305,0.83186453,0.27419439,0.038509312000000004,0.041376867000000005,-0.138560128,22.26661308,205.85899799999999,0.027410000000000004,0.02754,0,-0.00267,-0.03613,-0.28065999999999997,0.02219,0,0.018690000000000002,0.051829999999999994
3216,cw,122.0339679,16.92878871,-0.50743738,0.81099927,0.29118292,0.050908654000000005,0.053823557,-0.102396765,24.35709443,205.6244569,0.12355999999999999,-0.11404,0,0.10008,-0.33318000000000003,0.07362,-0.12425,0,0.049460000000000004,-0.0632
3217,cw,125.84649830000001,19.03001371,-0.55361057,0.76628845,0.32606341,0.052358391,0.055099742,-0.08499031900000001,28.50570919,204.96147009999999,-0.07169,-0.00392,0,-0.01434,0.04348,-0.4164,-0.02696,0,-0.01573,-0.00872
3218,cw,137.082351,24.56644223,-0.66604221,0.61930705,0.41574819,0.058656728,0.051232679,0.16403221,40.15125664,202.6237963,0.48398,0.07754,0,-0.060579999999999995,0.04556,0.41593,0.02266,0,0.00978,0.11575999999999999
3219,cw,138.1668044,25.0772624,-0.67485537,0.60409426,0.42384002,0.05450482,0.051789418,0.059780589,41.23565605,202.31790690000003,-0.0048200000000000005,0.02563,0,0.03393,0.07065,-0.01407,-0.05251,0,0.028360000000000003,0.02374
