,rotation,sky_u,sky_g,sky_r,sky_i,sky_z,skyErr_u,skyErr_g,skyErr_r,skyErr_i,skyErr_z
1695,cw,1.15e-09,1.3800000000000002e-09,4.35e-09,1.05e-08,3.56e-08,6.66e-11,9.85e-11,1.01e-10,1.13e-10,1.34e-10
1696,cw,1.1199999999999999e-09,1.4000000000000001e-09,4.27e-09,9.92e-09,3.4e-08,9.77e-12,3.32e-10,3.67e-10,1.0699999999999999e-10,7.349999999999999e-11
1697,cw,1.13e-09,2.0999999999999998e-09,5.17e-09,1.06e-08,3.11e-08,7.5e-11,8.75e-09,1.66e-08,2.04e-08,3.31e-10
1698,cw,1.26e-09,2.27e-09,5.04e-09,1.1000000000000001e-08,3.58e-08,2.15e-09,1.07e-08,1.63e-08,2.12e-08,2.16e-08
1699,cw,1.1199999999999999e-09,1.36e-09,4.04e-09,9.99e-09,3.35e-08,8.69e-12,2.63e-11,5.910000000000001e-11,1.43e-10,3.85e-10
1700,cw,1.14e-09,1.4199999999999999e-09,4.020000000000001e-09,9.429999999999999e-09,3.06e-08,7.71e-11,1.28e-10,1.6299999999999998e-10,2.11e-10,2.4799999999999997e-10
1701,cw,1.16e-09,1.3800000000000002e-09,4.1600000000000005e-09,1.01e-08,3.23e-08,7.87e-11,8.31e-11,4.8e-10,8.31e-11,5.19e-11
1702,cw,1.1699999999999999e-09,1.3699999999999998e-09,4.15e-09,1.03e-08,3.2900000000000003e-08,2.98e-11,4.73e-11,1.08e-10,2.2e-10,9.31e-11
1703,cw,1.0800000000000002e-09,1.31e-09,3.63e-09,8e-09,2.73e-08,1.2500000000000001e-12,4.1e-13,6.9e-13,1.27e-12,4.610000000000001e-12
1704,cw,1.07e-09,1.27e-09,3.42e-09,7.13e-09,2.3100000000000002e-08,2.8300000000000002e-11,2.68e-11,2.48e-11,2.0899999999999997e-11,6.43e-11
1705,cw,1.11e-09,1.45e-09,3.6200000000000003e-09,7.18e-09,2.2400000000000002e-08,1.6199999999999998e-10,3.29e-10,3.3799999999999997e-10,4.02e-10,5.37e-10
1706,cw,1.58e-09,2.31e-09,4.96e-09,9.159999999999999e-09,2.45e-08,9.86e-10,2.0100000000000003e-09,2.97e-09,3.8900000000000004e-09,2.8199999999999998e-09
