,rotation,type_u,type_g,type_r,type_i,type_z
629,cw,3,3,3,3,3
630,cw,3,3,3,3,3
631,cw,3,3,3,3,3
632,cw,3,3,3,3,3
633,cw,3,3,3,3,3
634,cw,3,3,3,3,3
635,cw,3,3,3,3,3
636,cw,3,3,3,3,3
637,cw,3,3,3,3,3
638,cw,3,3,3,3,3
639,cw,3,3,3,3,3
640,cw,3,3,3,3,3
641,cw,3,3,3,3,3
642,cw,6,3,3,3,3
643,cw,3,3,3,3,3
644,cw,3,3,3,3,3
645,cw,3,3,3,3,3
646,cw,3,3,3,3,3
647,cw,3,3,3,3,3
648,cw,3,3,3,3,3
649,cw,3,3,3,3,3
650,cw,3,3,3,3,3
651,cw,3,3,3,3,3
652,cw,3,3,3,3,3
653,cw,3,3,3,3,3
654,cw,3,3,3,3,3
655,cw,3,3,3,3,3
656,cw,3,3,3,3,3
657,cw,3,3,3,3,3
658,cw,3,3,3,3,3
659,cw,3,3,3,3,3
660,cw,3,3,3,3,3
661,cw,3,3,3,3,3
662,cw,3,3,3,3,3
663,cw,3,3,3,3,3
664,cw,3,3,3,3,3
665,cw,3,3,3,3,3
666,cw,3,3,3,3,3
667,cw,3,3,3,3,3
668,cw,3,3,3,3,3
669,cw,3,3,3,3,3
670,cw,3,3,3,3,3
671,cw,3,3,3,3,3
672,cw,3,3,3,3,3
673,cw,3,3,3,3,3
674,cw,3,3,3,3,3
675,cw,3,3,3,3,3
676,cw,3,3,3,3,3
677,cw,3,3,3,3,3
678,cw,3,3,3,3,3
679,cw,3,3,3,3,3
680,cw,3,3,3,3,3
681,cw,3,3,3,3,3
682,cw,3,3,3,3,3
683,cw,3,3,3,3,3
684,cw,3,3,3,3,3
685,cw,3,3,3,3,3
686,cw,3,3,3,3,3
687,cw,3,3,3,3,3
688,cw,3,3,3,3,3
689,cw,3,3,3,3,3
690,cw,3,3,3,3,3
691,cw,3,3,3,3,3
692,cw,3,3,3,3,3
693,cw,3,3,3,3,3
694,cw,3,3,3,3,3
695,cw,3,3,3,3,3
696,cw,3,3,3,3,3
697,cw,3,3,3,3,3
698,cw,3,3,3,3,3
699,cw,3,3,3,3,3
700,cw,3,3,3,3,3
701,cw,3,3,3,3,3
702,cw,3,3,3,3,3
703,cw,3,3,3,3,3
704,cw,3,3,3,3,3
705,cw,3,3,3,3,3
706,cw,3,3,3,3,3
707,cw,3,3,3,3,3
708,cw,3,3,3,3,3
709,cw,3,3,3,3,3
710,cw,3,3,3,3,3
711,cw,3,3,3,3,3
712,cw,3,3,3,3,3
713,cw,3,3,3,3,3
714,cw,3,3,3,3,3
715,cw,3,3,3,3,3
716,cw,3,3,3,3,3
717,cw,3,3,3,3,3
718,cw,3,3,3,3,3
719,cw,3,3,3,3,3
720,cw,3,3,3,3,3
721,cw,3,3,3,3,3
722,cw,3,3,3,3,3
723,cw,3,3,3,3,3
724,cw,3,3,3,3,3
725,cw,3,3,3,3,3
726,cw,3,3,3,3,3
727,cw,3,3,3,3,3
728,cw,3,3,3,3,3
729,cw,3,3,3,3,3
730,cw,3,3,3,3,3
731,cw,3,3,3,3,3
732,cw,3,3,3,3,3
733,cw,3,3,3,3,3
734,cw,3,3,3,3,3
735,cw,3,3,3,3,3
736,cw,3,3,3,3,3
737,cw,3,3,3,3,3
738,cw,3,3,3,3,3
739,cw,3,3,3,3,3
740,cw,3,3,3,3,3
741,cw,3,3,3,3,3
742,cw,3,3,3,3,3
743,cw,3,3,3,3,3
744,cw,3,3,3,3,3
745,cw,3,3,3,3,3
746,cw,3,3,3,3,3
747,cw,3,3,3,3,3
748,cw,3,3,3,3,3
749,cw,3,3,3,3,3
750,cw,3,3,3,3,3
751,cw,3,3,3,3,3
752,cw,3,3,3,3,3
753,cw,3,3,3,3,3
754,cw,3,3,3,3,3
755,cw,3,3,3,3,3
756,cw,3,3,3,3,3
757,cw,3,3,3,3,3
758,cw,3,3,3,3,3
759,cw,3,3,3,3,3
760,cw,3,3,3,3,3
761,cw,3,3,3,3,3
762,cw,3,3,3,3,3
763,cw,3,3,3,3,3
764,cw,3,3,3,3,3
765,cw,3,3,3,3,3
766,cw,3,3,3,3,3
767,cw,3,3,3,3,3
768,cw,3,3,3,3,3
769,cw,3,3,3,3,3
770,cw,3,3,3,3,3
771,cw,3,3,3,3,3
772,cw,3,3,3,3,3
773,cw,3,3,3,3,3
774,cw,3,3,3,3,3
775,cw,3,3,3,3,3
776,cw,3,3,3,3,3
777,cw,3,3,3,3,3
778,cw,3,3,3,3,3
779,cw,3,3,3,3,3
780,cw,3,3,3,3,3
781,cw,3,3,3,3,3
782,cw,3,3,3,3,3
783,cw,3,3,3,3,3
784,cw,3,3,3,3,3
785,cw,3,3,3,3,3
786,cw,3,3,3,3,3
787,cw,3,3,3,3,3
788,cw,3,3,3,3,3
789,cw,3,3,3,3,3
790,cw,3,3,3,3,3
791,cw,3,3,3,3,3
792,cw,3,3,3,3,3
793,cw,3,3,3,3,3
794,cw,3,3,3,3,3
795,cw,3,3,3,3,3
796,cw,3,3,3,3,3
797,cw,3,3,3,3,3
798,cw,3,3,3,3,3
799,cw,3,3,3,3,3
800,cw,3,3,3,3,3
801,cw,3,3,3,3,3
802,cw,3,3,3,3,3
803,cw,3,3,3,3,3
804,cw,3,3,3,3,3
805,cw,3,3,3,3,3
806,cw,3,3,3,3,3
807,cw,3,3,3,3,3
808,cw,3,3,3,3,3
809,cw,3,3,3,3,3
