,rotation,flags_u,flags_g,flags_r,flags_i,flags_z
215,cw,1.12593e+16,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
216,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
217,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
218,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
219,cw,2252070000000000.0,275147000000.0,4503870000000000.0,275146000000.0,2252070000000000.0
220,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
221,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
222,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
223,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
224,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
225,cw,2252070000000000.0,2252070000000000.0,4503870000000000.0,2252070000000000.0,2252070000000000.0
226,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
227,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
228,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2410400000000000.0,2252070000000000.0
229,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
230,cw,2410400000000000.0,2252070000000000.0,6755670000000000.0,2410400000000000.0,2252070000000000.0
231,cw,2269670000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
232,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2269670000000000.0,2252070000000000.0
233,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
234,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
235,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
236,cw,275147000000.0,275146000000.0,4503870000000000.0,275147000000.0,275147000000.0
237,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
238,cw,2251800000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
239,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
240,cw,275147000000.0,275147000000.0,4503870000000000.0,275146000000.0,275146000000.0
241,cw,275147000000.0,275146000000.0,4503870000000000.0,275146000000.0,275146000000.0
242,cw,275146000000.0,275146000000.0,4503870000000000.0,275146000000.0,275146000000.0
243,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
244,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
245,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252080000000000.0
246,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
247,cw,275146000000.0,275147000000.0,4503870000000000.0,275146000000.0,275146000000.0
248,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
249,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
250,cw,275147000000.0,275146000000.0,4503870000000000.0,275147000000.0,275146000000.0
251,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
252,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
253,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
254,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
255,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
256,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
257,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252080000000000.0
258,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
259,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
260,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
261,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
262,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2269670000000000.0,2252070000000000.0
263,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
264,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
265,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
266,cw,2252070000000000.0,2252070000000000.0,4503870000000000.0,275146000000.0,2252070000000000.0
267,cw,275213000000.0,275213000000.0,4503870000000000.0,275213000000.0,275214000000.0
268,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
269,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
270,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
271,cw,1.12593e+16,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
272,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
273,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
274,cw,275155000000.0,17867300000000.0,4503870000000000.0,275146000000.0,275146000000.0
275,cw,2410400000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
276,cw,1.13296e+16,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
277,cw,275146000000.0,275146000000.0,4503870000000000.0,275147000000.0,275146000000.0
278,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
279,cw,2322440000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
280,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
281,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
