,rotation,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,dered_u,dered_g,dered_r,dered_i,dered_z
6381,cw,17.75788,16.12623,15.384170000000001,14.992379999999999,14.738970000000002,0.038965,0.004253021,0.003654239,0.003818645,0.01137021,17.64365,16.04218,15.323210000000001,14.94616,14.7062
6382,cw,18.9034,17.618920000000003,16.829320000000003,16.39764,16.15567,0.05812925,0.007194074,0.005794980999999999,0.0061475390000000005,0.02065808,18.77745,17.52625,16.7621,16.34667,16.119529999999997
6383,cw,18.0976,16.68788,15.996479999999998,15.642579999999999,15.3811,0.03611813,0.004387242,0.003825194,0.004094854,0.01270543,17.97061,16.59445,15.92871,15.5912,15.34467
6384,cw,17.3187,16.08171,15.5056,15.234679999999999,14.99365,0.02389787,0.003819737,0.00354909,0.00391367,0.01151441,17.14545,15.954239999999999,15.41314,15.164579999999999,14.94395
6385,cw,16.62833,15.49634,14.9863,14.73083,14.6213,0.01751164,0.003252166,0.003114524,0.0035316090000000002,0.0112648,16.45635,15.3698,14.894520000000002,14.66124,14.57195
6386,cw,18.44118,17.01579,16.20309,15.798210000000001,15.50336,0.05824834,0.006408254,0.005043145,0.00535177,0.01593406,18.26158,16.88363,16.10725,15.72553,15.45183
6387,cw,19.129579999999997,17.4574,16.59133,16.12453,15.76491,0.04790698,0.005669845,0.004508254000000001,0.00444911,0.01063682,18.78913,17.2069,16.40965,15.98676,15.66724
6388,cw,18.12591,17.16534,16.65243,16.334120000000002,16.26962,0.03067649,0.005359579000000001,0.005152215,0.005732066,0.02288253,17.73186,16.875410000000002,16.44214,16.174670000000003,16.15656
6389,cw,18.700779999999998,17.34216,16.67822,16.28643,16.00153,0.04243767,0.005318583000000001,0.004625077,0.004843574000000001,0.01387215,18.401510000000002,17.12196,16.51851,16.165329999999997,15.91567
6390,cw,19.213420000000003,17.76032,16.97665,16.52986,16.21673,0.04674311,0.006807056999999999,0.005547298000000001,0.00549363,0.01512701,18.91516,17.540860000000002,16.81748,16.40916,16.13115
6391,cw,16.26765,14.95304,14.34856,13.95745,13.70539,0.009121355,0.002276929,0.002165516,0.0021716220000000002,0.0038538000000000005,15.98148,14.742479999999999,14.19585,13.84165,13.62328
6392,cw,19.15632,17.51961,16.72596,16.3342,16.07626,0.09145284,0.007936995,0.006309106,0.0070971969999999995,0.02474232,18.873829999999998,17.31175,16.575210000000002,16.21989,15.99521
6393,cw,16.72915,15.73554,15.37769,15.12473,14.99809,0.01279113,0.0033115059999999997,0.0031414159999999997,0.003553039,0.008073762,16.620910000000002,15.65591,15.31993,15.080929999999999,14.967039999999999
6394,cw,16.06275,15.01529,14.6404,14.44639,14.37633,0.01577704,0.003538912,0.003513797,0.004588228,0.0112115,15.984929999999999,14.958029999999999,14.598870000000002,14.4149,14.35401
6395,cw,18.25826,16.89741,16.18327,15.82523,15.610079999999998,0.03741566,0.005656808,0.0044707670000000005,0.004824974,0.01101076,18.18299,16.842029999999998,16.1431,15.794770000000002,15.588479999999999
6396,cw,18.877029999999998,17.39184,16.50202,16.04156,15.713479999999999,0.04209051,0.007230719,0.006008213,0.006353297,0.01029433,18.82125,17.3508,16.47225,16.01899,15.697479999999999
6397,cw,17.482670000000002,16.045270000000002,15.36827,15.01389,14.801739999999999,0.02327658,0.00363396,0.003048227,0.00322919,0.006549986,17.35867,15.95403,15.3021,14.96372,14.76617
6398,cw,17.92621,16.75435,16.18114,15.751570000000001,15.54835,0.0266912,0.005152272,0.00437419,0.004504635999999999,0.009742001,17.83813,16.68954,16.13413,15.715929999999998,15.523079999999998
6399,cw,17.37485,15.891020000000001,15.16254,14.757610000000001,14.47724,0.01562833,0.0030310259999999996,0.002575494,0.002660043,0.0043993109999999995,17.26606,15.810970000000001,15.10449,14.713579999999999,14.44602
6400,cw,18.6266,17.30245,16.75583,16.425710000000002,16.271520000000002,0.05281235,0.007734808,0.0067000409999999995,0.008252958000000001,0.022102,18.55486,17.249670000000002,16.71754,16.39668,16.25094
6401,cw,16.67199,15.32712,14.657729999999999,14.25649,13.98265,0.0127961,0.002802991,0.002451389,0.00255634,0.004472495999999999,16.604029999999998,15.277120000000002,14.62147,14.22899,13.96316
6402,cw,18.5395,17.13639,16.46741,16.09252,15.84505,0.03501877,0.005671191999999999,0.0046267109999999995,0.005148023,0.01118066,18.48217,17.0942,16.43681,16.06932,15.8286
6403,cw,17.52388,15.97209,15.214189999999999,14.80991,14.511289999999999,0.01901431,0.003283612,0.00280122,0.0030682659999999996,0.005755791999999999,17.45949,15.924710000000001,15.179829999999999,14.78385,14.492820000000002
6404,cw,18.06714,16.5573,15.780479999999999,15.3643,15.049560000000001,0.03643472,0.004784442,0.0037762340000000003,0.004154888,0.008620783,17.97211,16.487370000000002,15.72976,15.32584,15.0223
6405,cw,18.8241,17.476,16.770429999999998,16.34646,16.07797,0.03737324,0.006581085,0.005369615,0.006156902,0.01305951,18.7253,17.4033,16.7177,16.30648,16.04962
6406,cw,18.04665,16.62739,15.8811,15.482370000000001,15.236720000000002,0.0339922,0.005197514,0.004116725999999999,0.004731681,0.01113035,17.928279999999997,16.54029,15.817929999999999,15.434470000000001,15.202760000000001
6407,cw,16.30933,15.03161,14.408489999999999,14.078420000000001,13.91341,0.009261512,0.002404401,0.0021843120000000003,0.002348577,0.004283955,16.14839,14.91319,14.322610000000001,14.0133,13.86723
6408,cw,18.20252,16.96355,16.418879999999998,16.08172,15.95473,0.03300396,0.005548516999999999,0.005029098,0.00647336,0.0169541,18.04614,16.848489999999998,16.33543,16.01844,15.909870000000002
6409,cw,18.122510000000002,16.77928,16.11253,15.731829999999999,15.464310000000001,0.02550799,0.004400558,0.003764511,0.004230734,0.009115748,17.93825,16.6437,16.01419,15.65727,15.411439999999999
6410,cw,18.30126,16.80849,16.035120000000003,15.604629999999998,15.298670000000001,0.02742576,0.004564535,0.0037246840000000002,0.004470785,0.00777338,18.097920000000002,16.65887,15.9266,15.52235,15.240329999999998
6411,cw,19.08535,17.72194,16.9373,16.50469,16.15396,0.04827382,0.009599891999999999,0.008636026,0.009882441,0.016194399999999998,18.65561,17.405739999999998,16.70797,16.33079,16.03067
6412,cw,19.187170000000002,17.58266,16.64644,16.18722,15.82726,0.06158374,0.00782604,0.005540931999999999,0.006073266,0.01275011,18.87136,17.35029,16.47791,16.05943,15.73666
6413,cw,18.31089,16.39686,15.5004,14.98204,14.60615,0.03507528,0.0042374890000000005,0.0032245240000000003,0.003347948,0.0059968109999999995,18.012320000000003,16.17717,15.341070000000002,14.861220000000001,14.520489999999999
6414,cw,17.80874,16.47571,15.737160000000001,15.32308,15.027079999999998,0.02071648,0.00408745,0.003392357,0.003655575,0.006939151,17.58496,16.31106,15.61774,15.232520000000001,14.962879999999998
6415,cw,19.91987,17.48187,16.71719,16.30849,16.08437,0.18884379999999998,0.008835065,0.0068703819999999995,0.006826259,0.01755502,19.681070000000002,17.30617,16.58975,16.21186,16.01585
6416,cw,16.52272,15.06887,14.46344,14.114460000000001,13.864889999999999,0.01896063,0.0029594409999999997,0.002716558,0.002829269,0.0054919240000000005,16.423189999999998,14.99564,14.410329999999998,14.074179999999998,13.83634
6417,cw,17.410439999999998,16.0977,15.44161,15.231710000000001,14.880729999999998,0.03274179,0.005121418,0.0038641070000000003,0.013872399999999998,0.01060025,17.32828,16.03724,15.39776,15.19847,14.85716
6418,cw,18.146520000000002,16.89872,16.281760000000002,15.96253,15.6936,0.04069429,0.005794061,0.004933299,0.005142140999999999,0.01242672,18.07827,16.8485,16.24534,15.934920000000002,15.67402
6419,cw,18.94528,17.36201,16.55485,16.19819,15.872520000000002,0.05855819,0.007051784,0.00566643,0.0060952509999999994,0.01178619,18.88044,17.3143,16.52024,16.17195,15.85392
6420,cw,18.02394,16.380229999999997,15.532929999999999,15.12505,14.793970000000002,0.05243687,0.005511279,0.004121494,0.004095761,0.008867844,17.96785,16.33896,15.503,15.10235,14.77788
6421,cw,16.15953,14.92675,14.40041,14.145389999999999,13.90709,0.01464774,0.002524792,0.002543919,0.0026711440000000003,0.004777916,16.09157,14.87674,14.364139999999999,14.11789,13.8876
6422,cw,18.56069,17.30571,16.737460000000002,16.44145,16.27563,0.05605485,0.007149859000000001,0.006945651,0.006999396999999999,0.02259937,18.4575,17.229779999999998,16.682389999999998,16.39969,16.246029999999998
6423,cw,17.386879999999998,15.33446,14.5143,14.10094,13.846639999999999,0.02616646,0.0027622759999999997,0.002317273,0.002320084,0.004116654,17.28104,15.25659,14.457820000000002,14.058110000000001,13.816270000000001
6424,cw,17.66232,16.15363,15.50717,15.09571,14.828289999999999,0.02216082,0.00340191,0.003004239,0.003006828,0.005664921,17.55764,16.0766,15.4513,15.05335,14.79826
6425,cw,17.82594,16.54949,16.10238,15.82218,15.64914,0.03451604,0.004796993,0.004532655,0.005022617,0.01325687,17.7128,16.46624,16.04201,15.7764,15.616679999999999
6426,cw,18.24394,16.6289,15.73833,15.33797,15.01125,0.05790098,0.005814729,0.0042601720000000004,0.004377593,0.009885942,18.141579999999998,16.55359,15.683710000000001,15.29655,14.98189
6427,cw,18.04805,16.408160000000002,15.65151,15.25796,14.96075,0.04653333,0.004885267,0.003927512,0.00403823,0.009077446,17.95815,16.342010000000002,15.603539999999999,15.221589999999999,14.93496
6428,cw,15.57646,14.013329999999998,13.22269,12.87032,12.60621,0.009382876,0.001967134,0.001782507,0.001817767,0.00273257,15.46625,13.932229999999999,13.163870000000001,12.82572,12.574589999999999
6429,cw,15.898370000000002,14.39794,13.70536,13.380479999999999,13.15538,0.01217297,0.002193499,0.002024215,0.002110956,0.003808658,15.79313,14.32051,13.6492,13.33789,13.12519
6430,cw,18.20611,16.74444,16.04832,15.6408,15.336089999999999,0.03022601,0.004148705999999999,0.003567436,0.003682317,0.007591278000000001,18.11038,16.67401,15.997229999999998,15.602070000000001,15.308620000000001
6431,cw,18.17829,16.95249,16.51973,16.189770000000003,16.073339999999998,0.03902859,0.005364891,0.005177706,0.005987948000000001,0.01795517,18.09753,16.89307,16.47663,16.15709,16.05017
6432,cw,17.23497,15.960999999999999,15.33695,14.94779,14.7044,0.01700688,0.0032609540000000004,0.0028961240000000004,0.0030015909999999996,0.005963626999999999,17.15624,15.903070000000001,15.294929999999999,14.91593,14.68181
6433,cw,18.97436,17.29155,16.44724,16.0261,15.67721,0.05799058,0.006073761,0.004651395,0.0048782420000000005,0.01068074,18.94635,17.27094,16.43229,16.014770000000002,15.669170000000001
6434,cw,18.92205,17.26535,16.36838,15.95405,15.6019,0.06197551,0.006184809,0.004638911,0.004987908,0.01134495,18.87516,17.23085,16.34336,15.93508,15.58844
