,rotation,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,fiberMagErr_u,fiberMagErr_g,fiberMagErr_r,fiberMagErr_i,fiberMagErr_z
6258,cw,20.40931,19.00459,18.21893,17.80145,17.50873,0.06759331,0.008861328,0.0061545919999999995,0.0058292280000000005,0.01295592
6259,cw,20.60765,19.16348,18.44848,18.08332,17.833029999999997,0.07964847,0.05456393,0.04867786,0.006395581,0.01927855
6260,cw,20.85446,19.3213,18.510679999999997,18.09608,17.82413,0.097105,0.01189194,0.01026709,0.012802000000000001,0.01785927
6261,cw,19.6955,18.51612,17.8155,17.39065,17.137079999999997,0.03643486,0.007502167,0.01224901,0.01281486,0.01229101
6262,cw,19.990289999999998,18.56394,17.82159,17.42592,17.15192,0.04911042,0.007987925,0.00631288,0.00558075,0.01433529
6263,cw,20.56408,19.340770000000003,18.73874,18.39498,18.15963,0.07532854,0.01009022,0.008440323000000001,0.008657088,0.03135813
6264,cw,19.811629999999997,18.80661,18.336879999999997,18.064220000000002,17.913320000000002,0.03574058,0.007179738000000001,0.006859154,0.008082358000000001,0.0206012
6265,cw,19.16756,17.72091,16.95713,16.57878,16.29907,0.02537301,0.00381693,0.002854075,0.0030727790000000003,0.006574111
6266,cw,20.23188,18.97288,18.23948,17.826320000000003,17.58298,0.05644743,0.008325520999999999,0.006469231,0.006504991999999999,0.01371148
6267,cw,18.596510000000002,17.61234,17.07884,16.87138,16.65794,0.01832345,0.004965786,0.004275946,0.004314079,0.008373689
6268,cw,20.36557,18.84395,18.048579999999998,17.64347,17.320610000000002,0.06167963,0.007759453,0.005925990999999999,0.005379094,0.01352721
6269,cw,19.525270000000003,18.3035,17.6705,17.2464,17.03081,0.02493656,0.005949345,0.004500341,0.003624708,0.009494454
6270,cw,20.05476,18.50245,17.79128,17.43027,17.16405,0.03694007,0.006824541999999999,0.005175649,0.005197599000000001,0.01143493
6271,cw,21.16468,19.76185,19.1618,18.808020000000003,18.60931,0.08133285,0.0167962,0.01095722,0.01095925,0.03064806
6272,cw,20.06466,18.394000000000002,17.50631,17.03475,16.65677,0.036546800000000004,0.006835629,0.004274803,0.0034910009999999997,0.0068844019999999995
6273,cw,19.47616,18.32951,17.7234,17.34269,17.088379999999997,0.02609289,0.005978398,0.004804707,0.004095357,0.01055434
6274,cw,20.13883,18.83579,18.22833,17.90691,17.68824,0.04177932,0.008117816,0.005676844,0.006565126,0.01619152
6275,cw,21.08809,19.57871,18.78477,18.40791,18.13884,0.08133236,0.01267162,0.008928018000000001,0.008587711,0.02163221
6276,cw,20.18585,18.8795,18.14819,17.68542,17.39359,0.05122438,0.00786886,0.00516014,0.004068306,0.01177581
6277,cw,20.33736,19.04791,18.21418,17.68556,17.39796,0.05742161,0.008649219,0.006322224,0.004963321,0.0119934
6278,cw,21.101029999999998,19.884970000000003,19.22275,18.869229999999998,18.60246,0.10695419999999999,0.01527479,0.011823,0.01153419,0.02770614
6279,cw,20.041520000000002,18.14283,17.21142,16.77065,16.42148,0.04657922,0.004655141,0.003528747,0.002504885,0.005566909
6280,cw,19.928620000000002,18.0336,17.13685,16.72788,16.37529,0.04239615,0.00447314,0.0030929840000000004,0.002849695,0.00637643
6281,cw,20.06249,18.694879999999998,18.0634,17.70064,17.43395,0.04378783,0.008174644,0.006116473000000001,0.00506368,0.01354934
6282,cw,20.67299,19.041710000000002,18.2793,17.88361,17.56666,0.07840032,0.00957439,0.006485044000000001,0.006195089,0.01502213
6283,cw,21.85616,20.15195,19.109920000000002,18.66123,18.30761,0.23238240000000002,0.01752894,0.01017173,0.01050883,0.02304557
6284,cw,20.080779999999997,18.643629999999998,17.84776,17.40277,17.11867,0.04759181,0.006775209,0.00426829,0.00355654,0.01057979
6285,cw,19.51649,18.1759,17.48933,17.1326,16.85471,0.0288871,0.004917994,0.004062288,0.0035746190000000002,0.009321246
6286,cw,20.69345,19.31697,18.57115,18.16753,17.91445,0.0668965,0.01012543,0.007066801,0.0075336809999999995,0.01751891
6287,cw,19.87681,18.36439,17.41311,16.9757,16.638939999999998,0.03732831,0.005675965,0.003874823,0.0031351309999999998,0.008320175
6288,cw,17.81784,16.25467,15.58825,15.278529999999998,14.9679,0.009957775,0.001836416,0.0014605739999999999,0.001423969,0.003161862
6289,cw,20.265320000000003,18.27546,17.29776,16.875410000000002,16.556079999999998,0.04885779,0.004909594000000001,0.00310948,0.0029434879999999997,0.006701184000000001
6290,cw,20.154120000000002,18.8998,18.22901,17.921529999999997,17.66319,0.04480293,0.009247326,0.007313651,0.006459731999999999,0.01771646
6291,cw,18.8125,18.3665,17.98229,17.62236,17.49361,0.01785441,0.005669507,0.005287863,0.00529398,0.01498391
6292,cw,20.61835,18.58892,17.59644,17.15875,16.82835,0.07173006,0.00566224,0.0036876540000000003,0.003951429,0.01001733
6293,cw,19.18286,18.25939,17.66345,17.3242,17.09946,0.02538528,0.005722567,0.00527621,0.0047895590000000005,0.01269499
6294,cw,21.1087,19.81974,19.19882,18.847939999999998,18.597939999999998,0.1080062,0.01378455,0.011929,0.01169495,0.04229593
6295,cw,17.24396,16.44415,15.8639,15.58305,15.29085,0.00685695,0.001948809,0.001627285,0.001590082,0.003610214
6296,cw,21.52187,19.91743,19.00366,18.52524,18.17255,0.1554887,0.01517371,0.01102374,0.00942652,0.03142219
6297,cw,20.92114,19.56307,18.94081,18.5919,18.41189,0.09841319,0.01105023,0.009086533,0.01057498,0.03643221
6298,cw,20.25734,18.918670000000002,18.13004,17.64759,17.370279999999998,0.04548803,0.007979047,0.005801245,0.005528199,0.01130639
6299,cw,20.36124,19.22178,18.600620000000003,18.22991,18.0061,0.04372634,0.009611018,0.007827219,0.008091022,0.01789348
6300,cw,20.40209,19.12461,18.4476,18.07312,17.846120000000003,0.04781989,0.009036285,0.007118429,0.00750748,0.01604807
6301,cw,20.701539999999998,18.97516,18.057129999999997,17.5508,17.21203,0.06812976,0.01381636,0.01656663,0.02553791,0.02791549
6302,cw,20.376820000000002,18.911270000000002,18.036920000000002,17.471870000000003,17.162570000000002,0.05131967,0.007893012,0.005464551,0.005832324,0.01073222
6303,cw,19.13946,17.6865,16.89485,16.46461,16.10913,0.01915405,0.00580708,0.005356411,0.004309454,0.004868314
6304,cw,19.943179999999998,18.58845,17.8284,17.44535,17.22289,0.03637636,0.006504591999999999,0.004794281,0.005111742,0.009938411
