,rotation,nProf_u,nProf_g,nProf_r,nProf_i,nProf_z
836,cw,11,11,11,11,11
837,cw,11,11,11,11,11
838,cw,9,9,9,9,9
839,cw,11,11,11,11,11
840,cw,11,11,11,11,11
841,cw,11,11,11,11,11
842,cw,10,10,10,11,10
843,cw,10,10,10,10,10
844,cw,9,9,9,9,9
845,cw,10,10,10,10,10
846,cw,10,10,10,10,10
847,cw,11,11,11,11,11
848,cw,9,9,9,9,9
849,cw,11,11,11,11,11
850,cw,10,10,10,10,10
851,cw,10,10,10,10,10
852,cw,11,11,11,11,11
853,cw,10,10,10,10,10
854,cw,10,10,10,10,10
855,cw,10,10,10,10,10
856,cw,10,10,10,10,10
857,cw,10,11,10,11,10
858,cw,10,10,10,10,10
859,cw,11,11,11,11,11
860,cw,10,10,10,10,10
861,cw,10,10,10,10,10
862,cw,12,12,12,12,12
863,cw,11,10,10,10,10
864,cw,11,11,11,11,11
865,cw,11,11,11,11,11
866,cw,11,11,11,11,11
867,cw,10,10,10,10,10
868,cw,10,11,10,10,10
869,cw,10,10,10,10,10
870,cw,10,11,10,11,10
871,cw,10,10,10,10,10
872,cw,10,10,10,10,10
873,cw,10,10,10,10,10
874,cw,11,11,11,11,11
875,cw,10,11,10,10,10
876,cw,10,10,10,11,10
877,cw,11,11,11,11,11
878,cw,10,10,10,10,10
879,cw,11,11,11,11,11
880,cw,11,10,10,10,10
881,cw,11,11,11,11,11
882,cw,10,10,10,10,10
883,cw,11,11,11,11,11
884,cw,10,10,10,10,10
885,cw,10,11,10,10,10
886,cw,12,10,10,10,10
887,cw,11,11,11,11,11
888,cw,10,10,10,10,10
889,cw,11,11,11,11,11
890,cw,11,11,11,11,11
891,cw,12,10,10,10,10
892,cw,11,11,11,11,11
893,cw,11,11,11,11,11
894,cw,10,10,10,10,10
895,cw,11,11,11,11,11
896,cw,11,11,11,11,11
897,cw,10,10,10,10,11
898,cw,11,10,10,10,10
899,cw,10,10,10,10,10
900,cw,10,10,10,10,10
901,cw,10,10,10,10,10
902,cw,13,13,13,13,13
903,cw,12,12,12,12,12
904,cw,10,10,10,11,10
905,cw,11,11,11,11,11
906,cw,10,10,10,10,10
907,cw,10,10,10,10,10
908,cw,10,10,10,10,10
909,cw,10,10,10,10,10
910,cw,12,12,12,12,12
911,cw,10,10,10,10,10
912,cw,10,10,9,9,9
913,cw,10,10,10,10,10
914,cw,11,11,11,11,11
915,cw,10,9,9,9,9
916,cw,9,10,9,9,10
917,cw,9,9,9,9,9
918,cw,10,10,10,10,10
919,cw,10,10,10,10,10
920,cw,11,9,9,10,10
